20;1;0
20;2;0
20;3;0
20;4;0
20;5;0
20;6;0
20;7;0
20;8;0
20;9;0
20;10;0
30;1;0
30;2;0
30;3;0
30;4;0
30;5;0
30;6;0
30;7;0
30;8;0
30;9;0
30;10;0
40;1;0
40;2;0
40;3;0
40;4;0
40;5;0
40;6;0
40;7;0
40;8;0
40;9;0
40;10;0
50;1;0
50;2;0
50;3;0
50;4;0
50;5;0
50;6;0
50;7;0
50;8;0
50;9;0
50;10;0
60;1;0
60;2;0
60;3;0
60;4;0
60;5;0
60;6;0
60;7;0
60;8;0
60;9;0
60;10;0
70;1;0
70;2;0
70;3;0
70;4;0
70;5;0
70;6;0
70;7;1
70;8;0
70;9;0
70;10;0
80;1;0
80;2;0
80;3;0
80;4;0
80;5;0
80;6;0
80;7;0
80;8;0
80;9;0
80;10;0
90;1;0
90;2;0
90;3;0
90;4;0
90;5;0
90;6;0
90;7;0
90;8;0
90;9;0
90;10;0
100;1;0
100;2;0
100;3;0
100;4;0
100;5;0
100;6;0
100;7;0
100;8;1
100;9;0
100;10;0
110;1;0
110;2;0
110;3;0
110;4;0
110;5;0
110;6;0
110;7;0
110;8;0
110;9;0
110;10;0
120;1;0
120;2;0
120;3;0
120;4;0
120;5;0
120;6;0
120;7;0
120;8;0
120;9;0
120;10;0
130;1;0
130;2;0
130;3;0
130;4;0
130;5;0
130;6;0
130;7;0
130;8;0
130;9;0
130;10;0
140;1;0
140;2;0
140;3;0
140;4;0
140;5;0
140;6;0
140;7;0
140;8;0
140;9;0
140;10;0
150;1;0
150;2;0
150;3;0
150;4;0
150;5;0
150;6;0
150;7;0
150;8;0
150;9;0
150;10;0
160;1;0
160;2;0
160;3;0
160;4;0
160;5;0
160;6;0
160;7;0
160;8;0
160;9;0
160;10;0
170;1;0
170;2;0
170;3;0
170;4;0
170;5;0
170;6;0
170;7;0
170;8;0
170;9;0
170;10;0
180;1;0
180;2;0
180;3;0
180;4;0
180;5;0
180;6;1
180;7;0
180;8;0
180;9;0
180;10;0
190;1;0
190;2;0
190;3;0
190;4;0
190;5;0
190;6;0
190;7;0
190;8;0
190;9;0
190;10;0
200;1;0
200;2;0
200;3;0
200;4;0
200;5;0
200;6;0
200;7;0
200;8;0
200;9;1
200;10;0
210;1;0
210;2;0
210;3;0
210;4;0
